"","year","offense_name","value","region","short_name","Type","percent_change","crime_type"
"104",2013,"yearly_act_num_gun_robbery",9,"bensalem","gun robbery","Total Offenses",-43.75,"violent"
"105",2014,"yearly_act_num_gun_robbery",5,"bensalem","gun robbery","Total Offenses",-68.75,"violent"
"115",2009,"yearly_act_num_knife_robry",4,"bensalem","knife robbery","Total Offenses",0,"violent"
"116",2010,"yearly_act_num_knife_robry",5,"bensalem","knife robbery","Total Offenses",25,"violent"
"117",2011,"yearly_act_num_knife_robry",6,"bensalem","knife robbery","Total Offenses",50,"violent"
"118",2012,"yearly_act_num_knife_robry",2,"bensalem","knife robbery","Total Offenses",-50,"violent"
"119",2013,"yearly_act_num_knife_robry",2,"bensalem","knife robbery","Total Offenses",-50,"violent"
"120",2014,"yearly_act_num_knife_robry",2,"bensalem","knife robbery","Total Offenses",-50,"violent"
"130",2009,"yearly_act_num_oth_wpn_rob",7,"bensalem","other weapon robbery","Total Offenses",0,"violent"
"131",2010,"yearly_act_num_oth_wpn_rob",2,"bensalem","other weapon robbery","Total Offenses",-71.4285714285714,"violent"
"132",2011,"yearly_act_num_oth_wpn_rob",0,"bensalem","other weapon robbery","Total Offenses",-100,"violent"
"133",2012,"yearly_act_num_oth_wpn_rob",1,"bensalem","other weapon robbery","Total Offenses",-85.7142857142857,"violent"
"134",2013,"yearly_act_num_oth_wpn_rob",3,"bensalem","other weapon robbery","Total Offenses",-57.1428571428571,"violent"
"135",2014,"yearly_act_num_oth_wpn_rob",1,"bensalem","other weapon robbery","Total Offenses",-85.7142857142857,"violent"
"145",2009,"yearly_act_num_str_arm_rob",18,"bensalem","Strong Arm robbery","Total Offenses",0,"violent"
"146",2010,"yearly_act_num_str_arm_rob",21,"bensalem","Strong Arm robbery","Total Offenses",16.6666666666667,"violent"
"147",2011,"yearly_act_num_str_arm_rob",21,"bensalem","Strong Arm robbery","Total Offenses",16.6666666666667,"violent"
"148",2012,"yearly_act_num_str_arm_rob",15,"bensalem","Strong Arm robbery","Total Offenses",-16.6666666666667,"violent"
"149",2013,"yearly_act_num_str_arm_rob",22,"bensalem","Strong Arm robbery","Total Offenses",22.2222222222222,"violent"
"150",2014,"yearly_act_num_str_arm_rob",13,"bensalem","Strong Arm robbery","Total Offenses",-27.7777777777778,"violent"
"160",2009,"yearly_act_num_asslt__total",142,"bensalem","total assault","Total Offenses",0,"violent"
"161",2010,"yearly_act_num_asslt__total",158,"bensalem","total assault","Total Offenses",11.2676056338028,"violent"
"162",2011,"yearly_act_num_asslt__total",117,"bensalem","total assault","Total Offenses",-17.6056338028169,"violent"
"163",2012,"yearly_act_num_asslt__total",147,"bensalem","total assault","Total Offenses",3.52112676056338,"violent"
"164",2013,"yearly_act_num_asslt__total",141,"bensalem","total assault","Total Offenses",-0.704225352112675,"violent"
"165",2014,"yearly_act_num_asslt__total",115,"bensalem","total assault","Total Offenses",-19.0140845070422,"violent"
"175",2009,"yearly_act_num_gun_assault",2,"bensalem","gun assault","Total Offenses",0,"violent"
"176",2010,"yearly_act_num_gun_assault",2,"bensalem","gun assault","Total Offenses",0,"violent"
"177",2011,"yearly_act_num_gun_assault",3,"bensalem","gun assault","Total Offenses",50,"violent"
"178",2012,"yearly_act_num_gun_assault",3,"bensalem","gun assault","Total Offenses",50,"violent"
"179",2013,"yearly_act_num_gun_assault",1,"bensalem","gun assault","Total Offenses",-50,"violent"
"180",2014,"yearly_act_num_gun_assault",0,"bensalem","gun assault","Total Offenses",-100,"violent"
"190",2009,"yearly_act_num_knife_asslt",4,"bensalem","knife assault","Total Offenses",0,"violent"
"191",2010,"yearly_act_num_knife_asslt",13,"bensalem","knife assault","Total Offenses",225,"violent"
"192",2011,"yearly_act_num_knife_asslt",3,"bensalem","knife assault","Total Offenses",-25,"violent"
"193",2012,"yearly_act_num_knife_asslt",3,"bensalem","knife assault","Total Offenses",-25,"violent"
"194",2013,"yearly_act_num_knife_asslt",5,"bensalem","knife assault","Total Offenses",25,"violent"
"195",2014,"yearly_act_num_knife_asslt",9,"bensalem","knife assault","Total Offenses",125,"violent"
"205",2009,"yearly_act__oth_wpn_asslt",5,"bensalem","other weapon assault","Total Offenses",0,"violent"
"206",2010,"yearly_act__oth_wpn_asslt",1,"bensalem","other weapon assault","Total Offenses",-80,"violent"
"207",2011,"yearly_act__oth_wpn_asslt",1,"bensalem","other weapon assault","Total Offenses",-80,"violent"
"208",2012,"yearly_act__oth_wpn_asslt",10,"bensalem","other weapon assault","Total Offenses",100,"violent"
"209",2013,"yearly_act__oth_wpn_asslt",3,"bensalem","other weapon assault","Total Offenses",-40,"violent"
"210",2014,"yearly_act__oth_wpn_asslt",5,"bensalem","other weapon assault","Total Offenses",0,"violent"
"220",2009,"yearly_act__hndfeet_aslt",8,"bensalem","hndft assault","Total Offenses",0,"violent"
"221",2010,"yearly_act__hndfeet_aslt",13,"bensalem","hndft assault","Total Offenses",62.5,"violent"
"222",2011,"yearly_act__hndfeet_aslt",4,"bensalem","hndft assault","Total Offenses",-50,"violent"
"223",2012,"yearly_act__hndfeet_aslt",9,"bensalem","hndft assault","Total Offenses",12.5,"violent"
"224",2013,"yearly_act__hndfeet_aslt",8,"bensalem","hndft assault","Total Offenses",0,"violent"
"225",2014,"yearly_act__hndfeet_aslt",7,"bensalem","hndft assault","Total Offenses",-12.5,"violent"
"235",2009,"yearly_act__simple_asslt",181,"bensalem","simple assault","Total Offenses",0,"violent"
"236",2010,"yearly_act__simple_asslt",183,"bensalem","simple assault","Total Offenses",1.1049723756906,"violent"
"237",2011,"yearly_act__simple_asslt",165,"bensalem","simple assault","Total Offenses",-8.83977900552486,"violent"
"238",2012,"yearly_act__simple_asslt",189,"bensalem","simple assault","Total Offenses",4.41988950276244,"violent"
"239",2013,"yearly_act__simple_asslt",189,"bensalem","simple assault","Total Offenses",4.41988950276244,"violent"
"240",2014,"yearly_act__simple_asslt",141,"bensalem","simple assault","Total Offenses",-22.0994475138122,"violent"
"250",2009,"yearly_act__burglary__totl",224,"bensalem","burglary1","Total Offenses",0,"property"
"251",2010,"yearly_act__burglary__totl",212,"bensalem","burglary1","Total Offenses",-5.35714285714286,"property"
"252",2011,"yearly_act__burglary__totl",184,"bensalem","burglary1","Total Offenses",-17.8571428571429,"property"
"253",2012,"yearly_act__burglary__totl",225,"bensalem","burglary1","Total Offenses",0.446428571428581,"property"
"254",2013,"yearly_act__burglary__totl",115,"bensalem","burglary1","Total Offenses",-48.6607142857143,"property"
"255",2014,"yearly_act__burglary__totl",163,"bensalem","burglary1","Total Offenses",-27.2321428571429,"property"
"265",2009,"yearly_act__force_entry",173,"bensalem","forcible entry","Total Offenses",0,"property"
"266",2010,"yearly_act__force_entry",153,"bensalem","forcible entry","Total Offenses",-11.5606936416185,"property"
"267",2011,"yearly_act__force_entry",151,"bensalem","forcible entry","Total Offenses",-12.7167630057804,"property"
"268",2012,"yearly_act__force_entry",190,"bensalem","forcible entry","Total Offenses",9.82658959537572,"property"
"269",2013,"yearly_act__force_entry",100,"bensalem","forcible entry","Total Offenses",-42.1965317919075,"property"
"270",2014,"yearly_act__force_entry",122,"bensalem","forcible entry","Total Offenses",-29.4797687861272,"property"
"280",2009,"yearly_act__entryno_forc",75,"bensalem","Non-forcible entry","Total Offenses",0,"property"
"281",2010,"yearly_act__entryno_forc",81,"bensalem","Non-forcible entry","Total Offenses",8.00000000000001,"property"
"282",2011,"yearly_act__entryno_forc",67,"bensalem","Non-forcible entry","Total Offenses",-10.6666666666667,"property"
"283",2012,"yearly_act__entryno_forc",71,"bensalem","Non-forcible entry","Total Offenses",-5.33333333333333,"property"
"284",2013,"yearly_act__entryno_forc",45,"bensalem","Non-forcible entry","Total Offenses",-40,"property"
"285",2014,"yearly_act__entryno_forc",54,"bensalem","Non-forcible entry","Total Offenses",-28,"property"
"295",2009,"yearly_act__att_burglary",58,"bensalem","attempted burglary","Total Offenses",0,"property"
"296",2010,"yearly_act__att_burglary",41,"bensalem","attempted burglary","Total Offenses",-29.3103448275862,"property"
"297",2011,"yearly_act__att_burglary",38,"bensalem","attempted burglary","Total Offenses",-34.4827586206897,"property"
"298",2012,"yearly_act__att_burglary",57,"bensalem","attempted burglary","Total Offenses",-1.72413793103449,"property"
"299",2013,"yearly_act__att_burglary",30,"bensalem","attempted burglary","Total Offenses",-48.2758620689655,"property"
"300",2014,"yearly_act__att_burglary",40,"bensalem","attempted burglary","Total Offenses",-31.0344827586207,"property"
"310",2009,"yearly_act__larceny__total",1152,"bensalem","larceny","Total Offenses",0,"property"
"311",2010,"yearly_act__larceny__total",1169,"bensalem","larceny","Total Offenses",1.47569444444444,"property"
"312",2011,"yearly_act__larceny__total",1172,"bensalem","larceny","Total Offenses",1.73611111111112,"property"
"313",2012,"yearly_act__larceny__total",1216,"bensalem","larceny","Total Offenses",5.55555555555556,"property"
"314",2013,"yearly_act__larceny__total",1160,"bensalem","larceny","Total Offenses",0.694444444444442,"property"
"315",2014,"yearly_act__larceny__total",913,"bensalem","larceny","Total Offenses",-20.7465277777778,"property"
"325",2009,"yearly_act__vhc_theft__tot",93,"bensalem","motor motor vehicle theft","Total Offenses",0,"property"
"326",2010,"yearly_act__vhc_theft__tot",88,"bensalem","motor motor vehicle theft","Total Offenses",-5.3763440860215,"property"
"327",2011,"yearly_act__vhc_theft__tot",78,"bensalem","motor motor vehicle theft","Total Offenses",-16.1290322580645,"property"
"328",2012,"yearly_act__vhc_theft__tot",52,"bensalem","motor motor vehicle theft","Total Offenses",-44.0860215053764,"property"
"329",2013,"yearly_act__vhc_theft__tot",58,"bensalem","motor motor vehicle theft","Total Offenses",-37.6344086021505,"property"
"330",2014,"yearly_act__vhc_theft__tot",41,"bensalem","motor motor vehicle theft","Total Offenses",-55.9139784946236,"property"
"340",2009,"yearly_act__auto_theft",95,"bensalem","auto theft","Total Offenses",0,"property"
"341",2010,"yearly_act__auto_theft",81,"bensalem","auto theft","Total Offenses",-14.7368421052632,"property"
"342",2011,"yearly_act__auto_theft",77,"bensalem","auto theft","Total Offenses",-18.9473684210526,"property"
"343",2012,"yearly_act__auto_theft",50,"bensalem","auto theft","Total Offenses",-47.3684210526316,"property"
"344",2013,"yearly_act__auto_theft",56,"bensalem","auto theft","Total Offenses",-41.0526315789474,"property"
"345",2014,"yearly_act__auto_theft",44,"bensalem","auto theft","Total Offenses",-53.6842105263158,"property"
"355",2009,"yearly_act__trckbus_thft",7,"bensalem","Theft from truck or bus","Total Offenses",0,"property"
"356",2010,"yearly_act__trckbus_thft",11,"bensalem","Theft from truck or bus","Total Offenses",57.1428571428571,"property"
"357",2011,"yearly_act__trckbus_thft",13,"bensalem","Theft from truck or bus","Total Offenses",85.7142857142857,"property"
"358",2012,"yearly_act__trckbus_thft",12,"bensalem","Theft from truck or bus","Total Offenses",71.4285714285714,"property"
"359",2013,"yearly_act__trckbus_thft",10,"bensalem","Theft from truck or bus","Total Offenses",42.8571428571429,"property"
"360",2014,"yearly_act__trckbus_thft",7,"bensalem","Theft from truck or bus","Total Offenses",0,"property"
"370",2009,"yearly_act__oth_vhc_theft",17,"bensalem","other motor vehicle theft","Total Offenses",0,"property"
"371",2010,"yearly_act__oth_vhc_theft",16,"bensalem","other motor vehicle theft","Total Offenses",-5.88235294117647,"property"
"372",2011,"yearly_act__oth_vhc_theft",16,"bensalem","other motor vehicle theft","Total Offenses",-5.88235294117647,"property"
"373",2012,"yearly_act__oth_vhc_theft",12,"bensalem","other motor vehicle theft","Total Offenses",-29.4117647058823,"property"
"374",2013,"yearly_act__oth_vhc_theft",9,"bensalem","other motor vehicle theft","Total Offenses",-47.0588235294118,"property"
"375",2014,"yearly_act__oth_vhc_theft",12,"bensalem","other motor vehicle theft","Total Offenses",-29.4117647058823,"property"
"385",2009,"yearly_act__all_fields",2544,"bensalem","all fields","Total Offenses",0,"Total"
"386",2010,"yearly_act__all_fields",2440,"bensalem","all fields","Total Offenses",-4.08805031446541,"Total"
"387",2011,"yearly_act__all_fields",2546,"bensalem","all fields","Total Offenses",0.0786163522012551,"Total"
"388",2012,"yearly_act__all_fields",2474,"bensalem","all fields","Total Offenses",-2.75157232704403,"Total"
"389",2013,"yearly_act__all_fields",2321,"bensalem","all fields","Total Offenses",-8.76572327044025,"Total"
"390",2014,"yearly_act__all_fields",1998,"bensalem","all fields","Total Offenses",-21.4622641509434,"Total"
"400",2009,"yearly__tot_clr_murder",0,"bensalem","murder","Cleared Cases",0,"violent"
"401",2010,"yearly__tot_clr_murder",0,"bensalem","murder","Cleared Cases",NA,"violent"
"402",2011,"yearly__tot_clr_murder",0,"bensalem","murder","Cleared Cases",NA,"violent"
"403",2012,"yearly__tot_clr_murder",1,"bensalem","murder","Cleared Cases",NA,"violent"
"404",2013,"yearly__tot_clr_murder",0,"bensalem","murder","Cleared Cases",NA,"violent"
"405",2014,"yearly__tot_clr_murder",2,"bensalem","murder","Cleared Cases",NA,"violent"
"415",2009,"yearly__tot_clr_manslghtr",0,"bensalem","manslaughter","Cleared Cases",0,"violent"
"416",2010,"yearly__tot_clr_manslghtr",0,"bensalem","manslaughter","Cleared Cases",NA,"violent"
"417",2011,"yearly__tot_clr_manslghtr",0,"bensalem","manslaughter","Cleared Cases",NA,"violent"
"418",2012,"yearly__tot_clr_manslghtr",0,"bensalem","manslaughter","Cleared Cases",NA,"violent"
"419",2013,"yearly__tot_clr_manslghtr",0,"bensalem","manslaughter","Cleared Cases",NA,"violent"
"420",2014,"yearly__tot_clr_manslghtr",0,"bensalem","manslaughter","Cleared Cases",NA,"violent"
"430",2009,"yearly_tot_clr_rape__total",2,"bensalem","total rape","Cleared Cases",0,"violent"
"431",2010,"yearly_tot_clr_rape__total",5,"bensalem","total rape","Cleared Cases",150,"violent"
"432",2011,"yearly_tot_clr_rape__total",14,"bensalem","total rape","Cleared Cases",600,"violent"
"433",2012,"yearly_tot_clr_rape__total",8,"bensalem","total rape","Cleared Cases",300,"violent"
"434",2013,"yearly_tot_clr_rape__total",24,"bensalem","total rape","Cleared Cases",1100,"violent"
"435",2014,"yearly_tot_clr_rape__total",6,"bensalem","total rape","Cleared Cases",200,"violent"
"445",2009,"yearly__tot_clr_forc_rape",2,"bensalem","forcible rape","Cleared Cases",0,"violent"
"446",2010,"yearly__tot_clr_forc_rape",5,"bensalem","forcible rape","Cleared Cases",150,"violent"
"447",2011,"yearly__tot_clr_forc_rape",14,"bensalem","forcible rape","Cleared Cases",600,"violent"
"448",2012,"yearly__tot_clr_forc_rape",8,"bensalem","forcible rape","Cleared Cases",300,"violent"
"449",2013,"yearly__tot_clr_forc_rape",24,"bensalem","forcible rape","Cleared Cases",1100,"violent"
"450",2014,"yearly__tot_clr_forc_rape",6,"bensalem","forcible rape","Cleared Cases",200,"violent"
"460",2009,"yearly__tot_clr_atmptd_rape",0,"bensalem","attempted rape","Cleared Cases",0,"violent"
"461",2010,"yearly__tot_clr_atmptd_rape",0,"bensalem","attempted rape","Cleared Cases",NA,"violent"
"462",2011,"yearly__tot_clr_atmptd_rape",0,"bensalem","attempted rape","Cleared Cases",NA,"violent"
"463",2012,"yearly__tot_clr_atmptd_rape",0,"bensalem","attempted rape","Cleared Cases",NA,"violent"
"464",2013,"yearly__tot_clr_atmptd_rape",0,"bensalem","attempted rape","Cleared Cases",NA,"violent"
"465",2014,"yearly__tot_clr_atmptd_rape",0,"bensalem","attempted rape","Cleared Cases",NA,"violent"
"475",2009,"yearly_tot_clr__totl_robery",20,"bensalem","total robbery","Cleared Cases",0,"violent"
"476",2010,"yearly_tot_clr__totl_robery",19,"bensalem","total robbery","Cleared Cases",-5,"violent"
"477",2011,"yearly_tot_clr__totl_robery",24,"bensalem","total robbery","Cleared Cases",20,"violent"
"478",2012,"yearly_tot_clr__totl_robery",15,"bensalem","total robbery","Cleared Cases",-25,"violent"
"479",2013,"yearly_tot_clr__totl_robery",21,"bensalem","total robbery","Cleared Cases",5,"violent"
"480",2014,"yearly_tot_clr__totl_robery",11,"bensalem","total robbery","Cleared Cases",-45,"violent"
"490",2009,"yearly__tot_clr_gun_robbery",10,"bensalem","gun robbery","Cleared Cases",0,"violent"
"491",2010,"yearly__tot_clr_gun_robbery",6,"bensalem","gun robbery","Cleared Cases",-40,"violent"
"492",2011,"yearly__tot_clr_gun_robbery",6,"bensalem","gun robbery","Cleared Cases",-40,"violent"
"493",2012,"yearly__tot_clr_gun_robbery",2,"bensalem","gun robbery","Cleared Cases",-80,"violent"
"494",2013,"yearly__tot_clr_gun_robbery",10,"bensalem","gun robbery","Cleared Cases",0,"violent"
"495",2014,"yearly__tot_clr_gun_robbery",3,"bensalem","gun robbery","Cleared Cases",-70,"violent"
"505",2009,"yearly__tot_clr_knife_robry",3,"bensalem","knife robbery","Cleared Cases",0,"violent"
"506",2010,"yearly__tot_clr_knife_robry",2,"bensalem","knife robbery","Cleared Cases",-33.3333333333333,"violent"
"507",2011,"yearly__tot_clr_knife_robry",5,"bensalem","knife robbery","Cleared Cases",66.6666666666667,"violent"
"508",2012,"yearly__tot_clr_knife_robry",2,"bensalem","knife robbery","Cleared Cases",-33.3333333333333,"violent"
"509",2013,"yearly__tot_clr_knife_robry",1,"bensalem","knife robbery","Cleared Cases",-66.6666666666667,"violent"
"510",2014,"yearly__tot_clr_knife_robry",1,"bensalem","knife robbery","Cleared Cases",-66.6666666666667,"violent"
"520",2009,"yearly__tot_clr_oth_wpn_rob",1,"bensalem","other weapon robbery","Cleared Cases",0,"violent"
"521",2010,"yearly__tot_clr_oth_wpn_rob",1,"bensalem","other weapon robbery","Cleared Cases",0,"violent"
"522",2011,"yearly__tot_clr_oth_wpn_rob",0,"bensalem","other weapon robbery","Cleared Cases",-100,"violent"
"523",2012,"yearly__tot_clr_oth_wpn_rob",2,"bensalem","other weapon robbery","Cleared Cases",100,"violent"
"524",2013,"yearly__tot_clr_oth_wpn_rob",2,"bensalem","other weapon robbery","Cleared Cases",100,"violent"
"525",2014,"yearly__tot_clr_oth_wpn_rob",1,"bensalem","other weapon robbery","Cleared Cases",0,"violent"
"535",2009,"yearly__tot_clr_str_arm_rob",6,"bensalem","Strong Arm robbery","Cleared Cases",0,"violent"
"536",2010,"yearly__tot_clr_str_arm_rob",10,"bensalem","Strong Arm robbery","Cleared Cases",66.6666666666667,"violent"
"537",2011,"yearly__tot_clr_str_arm_rob",13,"bensalem","Strong Arm robbery","Cleared Cases",116.666666666667,"violent"
"538",2012,"yearly__tot_clr_str_arm_rob",9,"bensalem","Strong Arm robbery","Cleared Cases",50,"violent"
"539",2013,"yearly__tot_clr_str_arm_rob",8,"bensalem","Strong Arm robbery","Cleared Cases",33.3333333333333,"violent"
"540",2014,"yearly__tot_clr_str_arm_rob",6,"bensalem","Strong Arm robbery","Cleared Cases",0,"violent"
"550",2009,"yearly_tot_clr_asslt__total",123,"bensalem","total assault","Cleared Cases",0,"violent"
"551",2010,"yearly_tot_clr_asslt__total",119,"bensalem","total assault","Cleared Cases",-3.2520325203252,"violent"
"552",2011,"yearly_tot_clr_asslt__total",103,"bensalem","total assault","Cleared Cases",-16.260162601626,"violent"
"553",2012,"yearly_tot_clr_asslt__total",121,"bensalem","total assault","Cleared Cases",-1.6260162601626,"violent"
"554",2013,"yearly_tot_clr_asslt__total",128,"bensalem","total assault","Cleared Cases",4.06504065040652,"violent"
"555",2014,"yearly_tot_clr_asslt__total",88,"bensalem","total assault","Cleared Cases",-28.4552845528455,"violent"
"565",2009,"yearly__tot_clr_gun_assault",2,"bensalem","gun assault","Cleared Cases",0,"violent"
"566",2010,"yearly__tot_clr_gun_assault",1,"bensalem","gun assault","Cleared Cases",-50,"violent"
"567",2011,"yearly__tot_clr_gun_assault",3,"bensalem","gun assault","Cleared Cases",50,"violent"
"568",2012,"yearly__tot_clr_gun_assault",3,"bensalem","gun assault","Cleared Cases",50,"violent"
"569",2013,"yearly__tot_clr_gun_assault",1,"bensalem","gun assault","Cleared Cases",-50,"violent"
"570",2014,"yearly__tot_clr_gun_assault",0,"bensalem","gun assault","Cleared Cases",-100,"violent"
"580",2009,"yearly__tot_clr_knife_asslt",3,"bensalem","knife assault","Cleared Cases",0,"violent"
"581",2010,"yearly__tot_clr_knife_asslt",8,"bensalem","knife assault","Cleared Cases",166.666666666667,"violent"
"582",2011,"yearly__tot_clr_knife_asslt",3,"bensalem","knife assault","Cleared Cases",0,"violent"
"583",2012,"yearly__tot_clr_knife_asslt",3,"bensalem","knife assault","Cleared Cases",0,"violent"
"584",2013,"yearly__tot_clr_knife_asslt",4,"bensalem","knife assault","Cleared Cases",33.3333333333333,"violent"
"585",2014,"yearly__tot_clr_knife_asslt",9,"bensalem","knife assault","Cleared Cases",200,"violent"
"595",2009,"yearly__tot_clr_oth_wpn_aslt",5,"bensalem","other weapon assault","Cleared Cases",0,"violent"
"596",2010,"yearly__tot_clr_oth_wpn_aslt",0,"bensalem","other weapon assault","Cleared Cases",-100,"violent"
"597",2011,"yearly__tot_clr_oth_wpn_aslt",1,"bensalem","other weapon assault","Cleared Cases",-80,"violent"
"598",2012,"yearly__tot_clr_oth_wpn_aslt",4,"bensalem","other weapon assault","Cleared Cases",-20,"violent"
"599",2013,"yearly__tot_clr_oth_wpn_aslt",3,"bensalem","other weapon assault","Cleared Cases",-40,"violent"
"600",2014,"yearly__tot_clr_oth_wpn_aslt",5,"bensalem","other weapon assault","Cleared Cases",0,"violent"
"610",2009,"yearly__tot_clr_hndft_aslt",9,"bensalem","hndft assault","Cleared Cases",0,"violent"
"611",2010,"yearly__tot_clr_hndft_aslt",13,"bensalem","hndft assault","Cleared Cases",44.4444444444444,"violent"
"612",2011,"yearly__tot_clr_hndft_aslt",4,"bensalem","hndft assault","Cleared Cases",-55.5555555555556,"violent"
"613",2012,"yearly__tot_clr_hndft_aslt",9,"bensalem","hndft assault","Cleared Cases",0,"violent"
"614",2013,"yearly__tot_clr_hndft_aslt",8,"bensalem","hndft assault","Cleared Cases",-11.1111111111111,"violent"
"615",2014,"yearly__tot_clr_hndft_aslt",7,"bensalem","hndft assault","Cleared Cases",-22.2222222222222,"violent"
"625",2009,"yearly__tot_clr_simple_aslt",104,"bensalem","simple assault","Cleared Cases",0,"violent"
"626",2010,"yearly__tot_clr_simple_aslt",97,"bensalem","simple assault","Cleared Cases",-6.73076923076923,"violent"
"627",2011,"yearly__tot_clr_simple_aslt",92,"bensalem","simple assault","Cleared Cases",-11.5384615384615,"violent"
"628",2012,"yearly__tot_clr_simple_aslt",102,"bensalem","simple assault","Cleared Cases",-1.92307692307693,"violent"
"629",2013,"yearly__tot_clr_simple_aslt",112,"bensalem","simple assault","Cleared Cases",7.69230769230769,"violent"
"630",2014,"yearly__tot_clr_simple_aslt",67,"bensalem","simple assault","Cleared Cases",-35.5769230769231,"violent"
"640",2009,"yearly_tot_clr_brglry__totl",28,"bensalem","burglary1","Cleared Cases",0,"property"
"641",2010,"yearly_tot_clr_brglry__totl",25,"bensalem","burglary1","Cleared Cases",-10.7142857142857,"property"
"642",2011,"yearly_tot_clr_brglry__totl",33,"bensalem","burglary1","Cleared Cases",17.8571428571429,"property"
"643",2012,"yearly_tot_clr_brglry__totl",56,"bensalem","burglary1","Cleared Cases",100,"property"
"644",2013,"yearly_tot_clr_brglry__totl",13,"bensalem","burglary1","Cleared Cases",-53.5714285714286,"property"
"645",2014,"yearly_tot_clr_brglry__totl",29,"bensalem","burglary1","Cleared Cases",3.57142857142858,"property"
"655",2009,"yearly__tot_clr_forc_entry",26,"bensalem","forcible entry","Cleared Cases",0,"property"
"656",2010,"yearly__tot_clr_forc_entry",43,"bensalem","forcible entry","Cleared Cases",65.3846153846154,"property"
