"","year","offense_name","value","region","short_name","Type","percent_change","crime_type"
"10",2009,"yearly_act_num_murder",0,"bensalem","murder","Total Offenses",0,"violent"
"11",2010,"yearly_act_num_murder",0,"bensalem","murder","Total Offenses",NA,"violent"
"12",2011,"yearly_act_num_murder",0,"bensalem","murder","Total Offenses",NA,"violent"
"13",2012,"yearly_act_num_murder",1,"bensalem","murder","Total Offenses",NA,"violent"
"14",2013,"yearly_act_num_murder",0,"bensalem","murder","Total Offenses",NA,"violent"
"15",2014,"yearly_act_num_murder",2,"bensalem","murder","Total Offenses",NA,"violent"
"25",2009,"yearly_act_num_manslghtr",0,"bensalem","manslaughter","Total Offenses",0,"violent"
"26",2010,"yearly_act_num_manslghtr",0,"bensalem","manslaughter","Total Offenses",NA,"violent"
"27",2011,"yearly_act_num_manslghtr",0,"bensalem","manslaughter","Total Offenses",NA,"violent"
"28",2012,"yearly_act_num_manslghtr",0,"bensalem","manslaughter","Total Offenses",NA,"violent"
"29",2013,"yearly_act_num_manslghtr",0,"bensalem","manslaughter","Total Offenses",NA,"violent"
"30",2014,"yearly_act_num_manslghtr",0,"bensalem","manslaughter","Total Offenses",NA,"violent"
"40",2009,"yearly_act_num_rape__totl",6,"bensalem","total rape","Total Offenses",0,"violent"
"41",2010,"yearly_act_num_rape__totl",6,"bensalem","total rape","Total Offenses",0,"violent"
"42",2011,"yearly_act_num_rape__totl",14,"bensalem","total rape","Total Offenses",133.333333333333,"violent"
"43",2012,"yearly_act_num_rape__totl",7,"bensalem","total rape","Total Offenses",16.6666666666667,"violent"
"44",2013,"yearly_act_num_rape__totl",27,"bensalem","total rape","Total Offenses",350,"violent"
"45",2014,"yearly_act_num_rape__totl",10,"bensalem","total rape","Total Offenses",66.6666666666667,"violent"
"55",2009,"yearly_act_num_forc_rape",6,"bensalem","forcible rape","Total Offenses",0,"violent"
"56",2010,"yearly_act_num_forc_rape",6,"bensalem","forcible rape","Total Offenses",0,"violent"
"57",2011,"yearly_act_num_forc_rape",14,"bensalem","forcible rape","Total Offenses",133.333333333333,"violent"
"58",2012,"yearly_act_num_forc_rape",7,"bensalem","forcible rape","Total Offenses",16.6666666666667,"violent"
"59",2013,"yearly_act_num_forc_rape",26,"bensalem","forcible rape","Total Offenses",333.333333333333,"violent"
"60",2014,"yearly_act_num_forc_rape",10,"bensalem","forcible rape","Total Offenses",66.6666666666667,"violent"
"70",2009,"yearly_act_num_atmptd_rape",0,"bensalem","attempted rape","Total Offenses",0,"violent"
"71",2010,"yearly_act_num_atmptd_rape",0,"bensalem","attempted rape","Total Offenses",NA,"violent"
"72",2011,"yearly_act_num_atmptd_rape",0,"bensalem","attempted rape","Total Offenses",NA,"violent"
"73",2012,"yearly_act_num_atmptd_rape",0,"bensalem","attempted rape","Total Offenses",NA,"violent"
"74",2013,"yearly_act_num_atmptd_rape",1,"bensalem","attempted rape","Total Offenses",NA,"violent"
"75",2014,"yearly_act_num_atmptd_rape",0,"bensalem","attempted rape","Total Offenses",NA,"violent"
"85",2009,"yearly_act_num_robbry__totl",45,"bensalem","total robbery","Total Offenses",0,"violent"
"86",2010,"yearly_act_num_robbry__totl",41,"bensalem","total robbery","Total Offenses",-8.88888888888889,"violent"
"87",2011,"yearly_act_num_robbry__totl",35,"bensalem","total robbery","Total Offenses",-22.2222222222222,"violent"
"88",2012,"yearly_act_num_robbry__totl",24,"bensalem","total robbery","Total Offenses",-46.6666666666667,"violent"
"89",2013,"yearly_act_num_robbry__totl",36,"bensalem","total robbery","Total Offenses",-20,"violent"
"90",2014,"yearly_act_num_robbry__totl",21,"bensalem","total robbery","Total Offenses",-53.3333333333333,"violent"
"100",2009,"yearly_act_num_gun_robbery",16,"bensalem","gun robbery","Total Offenses",0,"violent"
"101",2010,"yearly_act_num_gun_robbery",13,"bensalem","gun robbery","Total Offenses",-18.75,"violent"
"102",2011,"yearly_act_num_gun_robbery",8,"bensalem","gun robbery","Total Offenses",-50,"violent"
"103",2012,"yearly_act_num_gun_robbery",6,"bensalem","gun robbery","Total Offenses",-62.5,"violent"
