"","year","offense_name","offenses_in_2013","short_name","Type","offenses_in_2009","percent_change","crime_type"
"1",2013,"yearly_act_num_murder",0,"Murder","Total Offenses",0,NA,"violent"
"2",2013,"yearly_act_num_manslghtr",0,"Manslaughter","Total Offenses",0,NA,"violent"
"3",2013,"yearly_act_num_rape__totl",27,"Total Rape","Total Offenses",6,350,"violent"
"4",2013,"yearly_act_num_forc_rape",26,"Forcible Rape","Total Offenses",6,333.333333333333,"violent"
"5",2013,"yearly_act_num_atmptd_rape",1,"Attempted Rape","Total Offenses",0,NA,"violent"
"6",2013,"yearly_act_num_robbry__totl",36,"Total Robbery","Total Offenses",45,-20,"violent"
"7",2013,"yearly_act_num_gun_robbery",9,"Gun Robbery","Total Offenses",16,-43.75,"violent"
"8",2013,"yearly_act_num_knife_robry",2,"Knife Robbery","Total Offenses",4,-50,"violent"
"9",2013,"yearly_act_num_oth_wpn_rob",3,"Other Weapon Robbery","Total Offenses",7,-57.1428571428571,"violent"
"10",2013,"yearly_act_num_str_arm_rob",22,"Strong Arm Robbery","Total Offenses",18,22.2222222222222,"violent"
"11",2013,"yearly_act_num_asslt__total",141,"Assault","Total Offenses",142,-0.704225352112675,"violent"
"12",2013,"yearly_act_num_gun_assault",1,"Gun Assault","Total Offenses",2,-50,"violent"
"13",2013,"yearly_act_num_knife_asslt",5,"Knife Assault","Total Offenses",4,25,"violent"
"14",2013,"yearly_act__oth_wpn_asslt",3,"Other Weapon Assault","Total Offenses",5,-40,"violent"
"15",2013,"yearly_act__hndfeet_aslt",8,"Hndft Assault","Total Offenses",8,0,"violent"
"16",2013,"yearly_act__simple_asslt",189,"Simple Assault","Total Offenses",181,4.41988950276244,"violent"
"17",2013,"yearly_act__burglary__totl",115,"Burglary","Total Offenses",224,-48.6607142857143,"property"
"18",2013,"yearly_act__force_entry",100,"Forcible Entry","Total Offenses",173,-42.1965317919075,"property"
"19",2013,"yearly_act__entryno_forc",45,"Non-forcible Entry","Total Offenses",75,-40,"property"
"20",2013,"yearly_act__att_burglary",30,"Attempted Burglary","Total Offenses",58,-48.2758620689655,"property"
"21",2013,"yearly_act__larceny__total",1160,"Larceny","Total Offenses",1152,0.694444444444442,"property"
"22",2013,"yearly_act__vhc_theft__tot",58,"Motor Motor Vehicle Theft","Total Offenses",93,-37.6344086021505,"property"
"23",2013,"yearly_act__auto_theft",56,"Auto Theft","Total Offenses",95,-41.0526315789474,"property"
"24",2013,"yearly_act__trckbus_thft",10,"Theft From Truck Or Bus","Total Offenses",7,42.8571428571429,"property"
"25",2013,"yearly_act__oth_vhc_theft",9,"Other Motor Vehicle Theft","Total Offenses",17,-47.0588235294118,"property"
"26",2013,"yearly_act__all_fields",2321,"All Fields","Total Offenses",2544,-8.76572327044025,"Total"
