"","ASR_ID","CONTENTS","STATE","ORI","GROUP","DIV","AGHEADER","YEAR","MSA","COUNTY","SEQNO","SUB","CORE","COVBY","POP","AGENCY","STNAME","MONTH","MOHEADER","BREAK","AREO","ZERO","DTLASTUP","DTPRUP1","DTPRUP2","JUVDISP","JDHANDDP","JDREFJC","JDREFWA","JDREFOPA","JDREFCC","OFFENSE","OCCUR","M0_9","M10_12","M13_14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25_29","M30_34","M35_39","M40_44","M45_49","M50_54","M55_59","M60_64","M65","F0_9","F10_12","F13_14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25_29","F30_34","F35_39","F40_44","F45_49","F50_54","F55_59","F60_64","F65","AW","AB","AI","AA","JW","JB","JI","JA","AH","AN","JH","JN"
"891644","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","04","6","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","2","0","0","0","0","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891645","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","05","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891646","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","06","15","0","1","1","2","1","0","0","0","0","0","2","0","0","0","3","2","0","0","0","0","0","0","0","0","3","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","5","5","0","0","9","0","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891647","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","08","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891648","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","09","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891649","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","11","5","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891650","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","13","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891651","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","14","5","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891652","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891653","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","17","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891654","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","18","14","0","0","0","0","2","0","0","0","1","1","1","1","0","3","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","4","6","0","0","1","2","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891655","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","180","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","2","0","0","0","0","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891656","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","18A","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","2","0","0","0","0","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891657","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","185","13","0","0","0","0","2","0","0","0","1","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","4","0","0","1","2","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891658","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","18F","13","0","0","0","0","2","0","0","0","1","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","4","0","0","1","2","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891659","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","21","15","0","0","0","0","0","0","0","0","0","1","1","1","0","2","2","7","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","1","0","0","0","0","22","2","0","0","0","0","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891660","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","22","7","0","0","0","1","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","9","0","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891661","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","23","7","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0","0","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
"891662","ASR Master File","Detail record","Pennsylvania","PA00901","3","Middle Atlantic","Agency header present","2000","657","9","4566","Suburban","N","Not covered by","58434","BENSALEM TOWNSHIP","PA","1","Month header present","3","3","Not used","82100","0","0","3","0","10","0","0","27","24","13","0","0","0","2","1","0","1","3","0","1","1","3","0","0","0","2","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","3","0","0","0","None/not reported","None/not reported","None/not reported","None/not reported"
