"","year","region","offense_name","value","short_name","Type","crime_type","percent_change"
"221",2009,"SP: BUCKS COUNTY","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"222",2009,"BENSALEM TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"223",2009,"BRISTOL","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"224",2009,"BRISTOL TOWNSHIP","yearly_act_num_murder",1,"murder","Total Offenses","violent",0
"226",2009,"FALLS TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"227",2009,"LOWER MAKEFIELD TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"228",2009,"LOWER SOUTHAMPTON TWP","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"229",2009,"MIDDLETOWN TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"230",2009,"MORRISVILLE","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"232",2009,"NEWTOWN TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"233",2009,"NORTHAMPTON TOWNSHIP","yearly_act_num_murder",1,"murder","Total Offenses","violent",0
"234",2009,"PERKASIE","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"235",2009,"QUAKERTOWN","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"238",2009,"UPPER SOUTHAMPTON TWP","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"239",2009,"WARMINSTER TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"240",2009,"DOYLESTOWN TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"241",2009,"HILLTOWN TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"243",2009,"PLUMSTEAD TOWNSHIP","yearly_act_num_murder",1,"murder","Total Offenses","violent",0
"244",2009,"WARRINGTON TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"246",2009,"RICHLAND TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",0
"247",2010,"SP: BUCKS COUNTY","yearly_act_num_murder",1,"murder","Total Offenses","violent",NA
"248",2010,"BENSALEM TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",NA
"249",2010,"BRISTOL","yearly_act_num_murder",0,"murder","Total Offenses","violent",NA
"250",2010,"BRISTOL TOWNSHIP","yearly_act_num_murder",1,"murder","Total Offenses","violent",0
"252",2010,"FALLS TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",NA
"253",2010,"LOWER MAKEFIELD TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",NA
"254",2010,"LOWER SOUTHAMPTON TWP","yearly_act_num_murder",1,"murder","Total Offenses","violent",NA
"255",2010,"MIDDLETOWN TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",NA
"256",2010,"MORRISVILLE","yearly_act_num_murder",0,"murder","Total Offenses","violent",NA
"257",2010,"NEWTOWN TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",NA
"258",2010,"NORTHAMPTON TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",-100
"259",2010,"PERKASIE","yearly_act_num_murder",0,"murder","Total Offenses","violent",NA
"260",2010,"QUAKERTOWN","yearly_act_num_murder",0,"murder","Total Offenses","violent",NA
"263",2010,"UPPER SOUTHAMPTON TWP","yearly_act_num_murder",1,"murder","Total Offenses","violent",NA
"264",2010,"WARMINSTER TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",NA
"266",2010,"DOYLESTOWN TOWNSHIP","yearly_act_num_murder",0,"murder","Total Offenses","violent",NA
"267",2010,"HILLTOWN TOWNSHIP","yearly_act_num_murder",1,"murder","Total Offenses","violent",NA
