"","offense_name","bensalem_offenses_in_2013","bensalem_offenses_in_2009","crime_type","bucks_county_offenses_in_2009","bucks_county_offenses_in_2013","Pennsylvania_offenses_in_2009","Pennsylvania_offenses_in_2013","Pennsylvania_percent_change","bucks_county_percent_change","bensalem_percent_change","crime_name"
"1","yearly_act_num_murder",0,0,"violent",4,8,664,611,-7.98192771084337,100,NA,"murder"
"2","yearly_act_num_manslghtr",0,0,"violent",1,0,34,19,-44.1176470588235,-100,NA,"manslaughter"
"3","yearly_act_num_rape__totl",27,6,"violent",65,61,3602,3755,4.24764019988895,-6.15384615384615,350,"total rape"
"4","yearly_act_num_forc_rape",26,6,"violent",61,51,3232,3326,2.90841584158417,-16.3934426229508,333.333333333333,"forcible rape"
"5","yearly_act_num_atmptd_rape",1,0,"violent",4,8,264,304,15.1515151515152,100,NA,"attempted rape"
"6","yearly_act_num_robbry__totl",36,45,"violent",135,137,11374,9472,-16.7223492175136,1.48148148148148,-20,"total robbery"
"7","yearly_act_num_gun_robbery",9,16,"violent",45,58,4777,3804,-20.368432070337,28.8888888888889,-43.75,"gun robbery"
"8","yearly_act_num_knife_robry",2,4,"violent",6,17,733,628,-14.3246930422919,183.333333333333,-50,"knife robbery"
"9","yearly_act_num_oth_wpn_rob",3,7,"violent",15,4,692,623,-9.97109826589595,-73.3333333333333,-57.1428571428571,"other weapon robbery"
"10","yearly_act_num_str_arm_rob",22,18,"violent",69,58,5172,4417,-14.5978344934261,-15.9420289855072,22.2222222222222,"Strong Arm robbery"
"11","yearly_act_num_asslt__total",141,142,"violent",1120,827,75054,69974,-6.76846004210302,-26.1607142857143,-0.704225352112675,"total assault"
"12","yearly_act_num_gun_assault",1,2,"violent",22,23,3392,3213,-5.27712264150944,4.54545454545454,-50,"gun assault"
"13","yearly_act_num_knife_asslt",5,4,"violent",33,17,2649,2294,-13.4012835032088,-48.4848484848485,25,"knife assault"
"14","yearly_act__oth_wpn_asslt",3,5,"violent",56,38,4469,3704,-17.1179234728127,-32.1428571428571,-40,"other weapon assault"
"15","yearly_act__hndfeet_aslt",8,8,"violent",186,106,7378,6780,-8.10517755489293,-43.010752688172,0,"hndft assault"
"16","yearly_act__simple_asslt",189,181,"violent",1205,974,83708,79390,-5.15840779853778,-19.1701244813278,4.41988950276244,"simple assault"
"17","yearly_act__burglary__totl",115,224,"property",910,866,34386,34145,-0.700866631768748,-4.83516483516484,-48.6607142857143,"burglary1"
"18","yearly_act__force_entry",100,173,"property",709,690,30435,28994,-4.7346804665681,-2.67983074753173,-42.1965317919075,"forcible entry"
"19","yearly_act__entryno_forc",45,75,"property",272,318,12266,11868,-3.24474156204142,16.9117647058824,-40,"Non-forcible entry"
"20","yearly_act__att_burglary",30,58,"property",263,181,4755,4720,-0.736067297581489,-31.1787072243346,-48.2758620689655,"attempted burglary"
"21","yearly_act__larceny__total",1160,1152,"property",5774,5074,133125,127785,-4.01126760563381,-12.1233113959127,0.694444444444442,"larceny"
"22","yearly_act__vhc_theft__tot",58,93,"property",317,231,11703,8964,-23.4042553191489,-27.1293375394322,-37.6344086021505,"motor motor vehicle theft"
"23","yearly_act__auto_theft",56,95,"property",321,268,14457,11142,-22.9300684789375,-16.5109034267913,-41.0526315789474,"auto theft"
"24","yearly_act__trckbus_thft",10,7,"property",24,11,536,370,-30.9701492537313,-54.1666666666667,42.8571428571429,"Theft from truck or bus"
"25","yearly_act__oth_vhc_theft",9,17,"property",81,45,1604,1333,-16.8952618453865,-44.4444444444444,-47.0588235294118,"other motor vehicle theft"
"26","yearly_act__all_fields",2321,2544,"Total",12187,10934,404471,382290,-5.48395311406751,-10.2814474439977,-8.76572327044025,"all fields"
